gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,some college,free/reduced,completed,41,54,55
male,group D,associate's degree,standard,none,83,77,77
male,group D,associate's degree,free/reduced,none,68,64,65
female,group E,high school,free/reduced,none,66,84,84
male,group C,high school,standard,none,71,70,64
female,group D,associate's degree,standard,none,60,64,66
male,group A,master's degree,free/reduced,none,66,60,59
male,group C,master's degree,standard,none,79,75,68
male,group A,associate's degree,standard,none,81,64,62
female,group E,associate's degree,standard,none,77,76,71
female,group D,some college,free/reduced,none,58,55,62
male,group D,bachelor's degree,standard,none,77,67,63
female,group A,associate's degree,standard,none,55,62,62
male,group B,some high school,standard,completed,69,63,58
female,group A,master's degree,standard,completed,62,74,79
female,group E,associate's degree,standard,completed,83,79,83
male,group C,some college,standard,none,77,77,72
male,group D,high school,free/reduced,completed,86,84,86
male,group C,bachelor's degree,standard,completed,55,48,53
male,group A,master's degree,free/reduced,none,50,47,45
male,group D,some high school,standard,none,87,72,77
male,group B,bachelor's degree,free/reduced,none,59,67,59
male,group C,high school,free/reduced,none,39,43,38
female,group D,high school,free/reduced,none,46,60,58
female,group B,some college,standard,completed,89,94,96
female,group C,some high school,standard,none,70,79,74
male,group D,associate's degree,free/reduced,none,66,73,70
female,group E,some college,standard,completed,81,91,86
male,group B,high school,free/reduced,none,21,20,16
female,group B,associate's degree,free/reduced,none,57,72,78
male,group C,high school,free/reduced,none,51,54,51
male,group C,some high school,standard,completed,62,59,55
male,group C,some high school,free/reduced,none,38,43,39
female,group B,some high school,standard,completed,64,71,71
male,group D,high school,standard,none,82,73,69
female,group B,some high school,standard,none,33,47,38
female,group D,some college,standard,completed,67,72,82
female,group B,some college,free/reduced,completed,46,55,60
female,group D,associate's degree,standard,completed,77,85,85
male,group B,some high school,free/reduced,none,62,69,58
male,group C,master's degree,free/reduced,none,64,69,62
female,group B,high school,free/reduced,completed,52,66,59
female,group B,some college,standard,none,58,60,62
female,group C,high school,standard,completed,77,83,80
female,group D,bachelor's degree,free/reduced,none,50,68,63
female,group B,bachelor's degree,standard,none,86,97,94
male,group B,some college,free/reduced,completed,58,69,66
male,group D,master's degree,standard,none,90,84,87
male,group D,some college,standard,none,53,50,45
female,group C,bachelor's degree,standard,none,79,86,91
female,group B,some college,standard,completed,65,69,71
female,group B,master's degree,standard,completed,77,93,97
female,group A,bachelor's degree,free/reduced,none,43,65,57
female,group B,some high school,standard,none,64,69,69
male,group B,some college,standard,none,75,71,71
male,group C,high school,standard,none,48,50,51
female,group E,some high school,standard,none,74,75,67
male,group D,high school,standard,completed,90,84,90
female,group B,some college,standard,none,62,73,69
male,group D,some college,free/reduced,none,54,49,45
female,group C,associate's degree,standard,none,71,78,81
male,group D,some college,standard,completed,100,98,97
male,group C,some college,standard,completed,71,69,64
male,group E,some college,standard,completed,100,100,98
female,group E,some college,standard,none,67,64,64
male,group C,master's degree,standard,none,58,55,55
female,group C,high school,free/reduced,none,51,55,56
female,group B,bachelor's degree,standard,none,62,77,73
male,group C,some college,free/reduced,completed,60,75,75
male,group C,associate's degree,free/reduced,none,59,60,57
male,group D,some college,standard,completed,71,55,55
male,group D,some high school,free/reduced,none,26,31,31
male,group C,high school,free/reduced,completed,84,78,73
female,group A,some high school,standard,none,52,63,63
female,group C,some high school,standard,none,83,92,87
male,group D,some high school,standard,completed,67,59,60
male,group D,some college,standard,completed,69,76,73
male,group B,some college,standard,none,48,43,43
male,group C,some high school,standard,completed,76,76,73
male,group D,some college,free/reduced,completed,48,43,47
female,group B,bachelor's degree,standard,completed,71,88,85
female,group A,some college,standard,none,59,62,64
male,group C,some college,standard,none,82,77,67
female,group D,high school,free/reduced,none,68,80,75
female,group D,associate's degree,standard,none,86,83,83
male,group B,bachelor's degree,free/reduced,completed,43,47,47
male,group E,high school,standard,none,58,57,54
female,group C,associate's degree,standard,none,88,94,90
male,group C,associate's degree,standard,completed,94,87,86
male,group D,associate's degree,standard,none,63,70,74
female,group C,some high school,standard,completed,72,82,86
female,group B,some college,standard,none,62,66,64
male,group E,associate's degree,free/reduced,completed,67,67,64
male,group C,associate's degree,free/reduced,none,52,66,60
female,group B,some high school,free/reduced,none,60,62,58
male,group D,some high school,free/reduced,none,60,62,60
male,group D,high school,standard,none,79,71,68
female,group D,associate's degree,standard,completed,99,100,100
female,group B,high school,free/reduced,completed,71,77,84
male,group B,some high school,standard,none,84,75,72
female,group C,bachelor's degree,free/reduced,completed,55,71,71
male,group C,some high school,standard,completed,67,75,75
male,group D,some college,free/reduced,none,48,39,41
female,group B,some college,standard,none,49,54,47
female,group E,associate's degree,free/reduced,none,40,53,51
male,group C,some college,standard,completed,71,86,82
female,group E,associate's degree,standard,completed,87,91,98
female,group D,some college,free/reduced,none,55,76,71
female,group C,some college,standard,none,78,85,82
female,group D,associate's degree,standard,none,78,88,87
female,group D,some high school,standard,completed,54,66,68
female,group E,high school,standard,completed,89,91,91
male,group D,high school,free/reduced,none,78,77,68
male,group E,high school,standard,none,95,77,79
female,group E,associate's degree,free/reduced,none,84,95,97
female,group C,some high school,standard,none,51,60,59
male,group C,associate's degree,standard,none,72,62,61
female,group C,some high school,standard,completed,62,66,70
male,group D,some college,standard,completed,55,56,60
female,group B,bachelor's degree,standard,none,76,86,86
male,group C,high school,free/reduced,none,51,59,50
male,group D,high school,standard,completed,63,66,67
female,group D,some college,standard,none,55,40,54
male,group C,some college,standard,completed,84,73,78
female,group D,associate's degree,standard,none,65,74,72
male,group E,bachelor's degree,free/reduced,none,47,43,38
male,group C,master's degree,free/reduced,none,55,52,47
male,group C,high school,standard,none,66,74,67
female,group C,some high school,standard,completed,90,100,100
male,group D,some high school,free/reduced,none,76,59,59
male,group D,some high school,standard,completed,64,77,73
female,group C,associate's degree,standard,none,40,50,51
female,group C,associate's degree,free/reduced,completed,61,73,78
male,group D,high school,free/reduced,completed,60,70,69
male,group C,high school,standard,none,62,54,52
male,group D,some high school,standard,none,81,70,73
female,group B,associate's degree,free/reduced,none,53,72,72
female,group D,high school,free/reduced,none,60,64,64
female,group C,some college,free/reduced,completed,58,79,83
female,group B,associate's degree,free/reduced,none,56,61,62
male,group A,associate's degree,standard,none,76,72,73
female,group D,some high school,standard,none,71,76,73
male,group C,associate's degree,standard,none,92,79,81
male,group B,associate's degree,standard,none,68,57,59
female,group E,bachelor's degree,standard,none,43,51,49
male,group D,some high school,standard,none,42,46,39
female,group C,some college,standard,completed,77,89,93
female,group C,master's degree,standard,completed,65,70,71
male,group E,high school,free/reduced,none,69,51,47
female,group D,associate's degree,free/reduced,none,83,86,93
female,group C,high school,standard,completed,66,73,76
male,group D,bachelor's degree,standard,none,63,52,53
male,group C,master's degree,standard,completed,75,72,77
male,group B,associate's degree,standard,none,67,64,57
male,group C,high school,free/reduced,none,47,47,44
male,group B,some college,free/reduced,completed,90,77,83
female,group D,associate's degree,standard,none,73,84,78
male,group C,master's degree,standard,completed,77,68,74
female,group B,some college,standard,none,76,90,89
male,group D,master's degree,standard,completed,95,98,100
male,group C,high school,standard,none,59,55,48
female,group C,associate's degree,standard,none,63,62,68
male,group E,associate's degree,free/reduced,completed,60,61,63
male,group A,some high school,free/reduced,none,50,41,40
female,group B,some high school,standard,completed,73,89,84
male,group C,some college,standard,none,49,44,39
male,group B,some high school,free/reduced,completed,63,64,68
female,group A,high school,standard,completed,72,81,79
male,group D,high school,standard,none,79,67,64
female,group A,high school,standard,none,70,72,72
male,group D,high school,standard,none,73,72,70
male,group B,some college,standard,none,73,72,69
female,group D,associate's degree,standard,none,76,77,83
male,group D,associate's degree,standard,none,88,87,82
female,group D,some high school,standard,completed,38,56,56
male,group C,some high school,standard,none,94,88,84
female,group D,some high school,standard,none,53,74,66
male,group D,some high school,free/reduced,none,76,70,72
male,group B,associate's degree,standard,completed,74,84,78
male,group D,some college,standard,none,92,93,87
female,group C,some high school,standard,none,52,63,56
male,group C,some high school,standard,none,59,62,54
female,group D,master's degree,standard,none,72,88,89
male,group C,high school,standard,none,83,73,72
female,group B,associate's degree,standard,none,60,76,77
female,group C,associate's degree,free/reduced,none,75,94,82
female,group E,high school,standard,none,72,76,77
female,group C,bachelor's degree,standard,none,56,74,72
female,group B,high school,free/reduced,completed,36,54,59
male,group C,some high school,standard,none,85,87,81
female,group B,high school,free/reduced,none,63,69,72
male,group A,some high school,standard,none,62,59,47
female,group D,high school,standard,completed,87,100,100
female,group B,some college,standard,none,41,51,51
female,group B,bachelor's degree,standard,completed,77,93,90
male,group A,some college,standard,none,80,84,80
male,group B,bachelor's degree,standard,completed,77,85,83
female,group B,some high school,standard,none,56,64,65
female,group D,master's degree,standard,completed,88,98,99
male,group D,some college,free/reduced,completed,63,68,67
female,group D,some college,standard,completed,53,71,76
female,group C,some college,standard,completed,82,100,100
female,group B,high school,standard,completed,82,94,93
female,group D,some college,standard,none,62,71,68
male,group C,associate's degree,free/reduced,completed,67,63,62
male,group E,some college,standard,none,72,61,62
female,group B,high school,free/reduced,none,46,56,54
female,group B,high school,standard,none,64,74,71
female,group B,some high school,standard,none,58,57,62
female,group D,master's degree,standard,none,100,100,100
female,group B,bachelor's degree,standard,none,57,74,77
female,group E,high school,free/reduced,completed,46,60,64
female,group E,associate's degree,free/reduced,completed,74,86,89
male,group B,high school,standard,none,74,66,60
female,group B,associate's degree,standard,completed,58,67,68
male,group D,bachelor's degree,standard,none,100,87,86
male,group A,some college,standard,none,79,72,69
male,group E,associate's degree,free/reduced,completed,54,56,57
female,group C,associate's degree,standard,none,66,74,75
male,group A,some college,standard,none,56,48,45
male,group B,high school,standard,none,89,85,73
male,group E,bachelor's degree,standard,none,85,65,65
male,group D,associate's degree,standard,completed,86,88,90
female,group C,some college,free/reduced,none,41,52,48
female,group B,some college,standard,none,80,87,85
male,group C,associate's degree,standard,none,74,66,65
male,group B,associate's degree,standard,completed,82,76,77
male,group D,high school,standard,none,81,80,71
female,group E,associate's degree,free/reduced,completed,70,84,88
male,group B,associate's degree,standard,completed,86,84,86
male,group C,bachelor's degree,free/reduced,completed,53,52,45
male,group E,some college,standard,completed,99,95,97
male,group B,some college,free/reduced,none,51,55,47
female,group D,some high school,standard,none,68,74,74
female,group C,high school,standard,none,71,82,86
male,group B,associate's degree,standard,none,88,74,74
female,group A,some high school,standard,none,50,60,61
male,group D,some high school,standard,none,72,68,64
female,group E,some college,standard,completed,73,75,74
female,group E,associate's degree,free/reduced,none,60,59,64
male,group A,some college,standard,completed,76,84,81
female,group C,bachelor's degree,standard,none,82,88,86
male,group C,associate's degree,standard,none,71,71,64
female,group E,master's degree,standard,none,83,79,82
male,group D,high school,standard,none,69,63,66
female,group C,master's degree,standard,completed,88,84,88
male,group C,bachelor's degree,free/reduced,completed,63,63,62
female,group D,high school,standard,none,55,57,64
male,group C,bachelor's degree,standard,none,84,72,69
female,group C,bachelor's degree,standard,none,57,64,54
male,group B,some college,standard,none,62,72,69
female,group B,some college,standard,completed,68,73,79
female,group D,some college,standard,none,85,89,92
male,group E,associate's degree,free/reduced,none,84,86,80
male,group C,some high school,standard,completed,58,59,53
female,group C,associate's degree,standard,completed,89,99,100
female,group C,some college,standard,completed,79,95,93
male,group E,bachelor's degree,standard,none,82,82,74
female,group C,master's degree,free/reduced,completed,48,74,67
female,group E,associate's degree,standard,none,73,83,78
male,group B,some college,free/reduced,none,52,44,41
female,group C,associate's degree,standard,none,69,75,74
female,group D,some college,standard,completed,68,70,77
male,group D,some high school,free/reduced,completed,69,72,69
female,group D,master's degree,free/reduced,none,50,55,63
female,group B,high school,standard,none,50,55,50
male,group C,some high school,standard,none,80,72,70
female,group C,some college,standard,none,48,54,51
male,group B,associate's degree,free/reduced,none,72,75,71
female,group C,some college,free/reduced,none,60,68,65
male,group C,some college,standard,completed,70,63,63
female,group A,some high school,free/reduced,none,28,46,37
female,group D,high school,standard,none,73,87,84
female,group D,some high school,free/reduced,none,35,40,39
female,group B,some college,free/reduced,none,69,80,77
male,group B,master's degree,free/reduced,none,78,72,63
female,group C,high school,standard,completed,73,84,88
female,group C,high school,standard,completed,38,51,57
male,group D,associate's degree,standard,none,81,79,78
male,group E,master's degree,standard,none,92,81,77
female,group A,some high school,standard,completed,62,67,68
female,group D,master's degree,free/reduced,completed,66,76,83
male,group E,some college,standard,none,100,90,87
male,group B,some college,standard,completed,77,77,77
female,group B,bachelor's degree,standard,completed,81,89,86
female,group D,some college,standard,none,73,81,84
female,group D,some college,standard,completed,78,79,87
male,group A,some college,standard,none,56,53,53
female,group E,high school,free/reduced,none,35,46,43
male,group D,some high school,standard,none,71,63,60
male,group D,high school,standard,completed,78,81,77
female,group C,high school,free/reduced,none,51,60,60
male,group B,bachelor's degree,standard,none,86,86,79
male,group B,associate's degree,standard,none,77,87,79
female,group D,high school,standard,none,61,62,65
male,group E,bachelor's degree,free/reduced,none,80,64,64
female,group A,some high school,free/reduced,none,57,68,62
male,group C,associate's degree,standard,none,46,54,48
male,group C,some high school,standard,none,73,72,71
female,group B,associate's degree,free/reduced,none,56,72,66
male,group C,some high school,standard,none,75,62,57
female,group C,some high school,free/reduced,completed,69,75,78
female,group B,bachelor's degree,standard,none,83,93,94
male,group E,some college,free/reduced,completed,69,62,63
male,group C,some college,standard,completed,92,79,84
female,group B,master's degree,free/reduced,completed,55,58,61
male,group B,some college,standard,none,63,55,60
male,group D,some high school,standard,completed,72,72,76
female,group C,high school,free/reduced,none,51,63,62
female,group D,some college,standard,completed,83,89,91
male,group C,associate's degree,free/reduced,none,34,27,30
male,group D,some high school,free/reduced,none,66,64,65
male,group C,bachelor's degree,standard,none,49,43,39
female,group E,high school,standard,completed,94,100,100
female,group A,master's degree,free/reduced,completed,57,75,74
male,group B,some college,free/reduced,completed,74,75,76
female,group B,high school,free/reduced,completed,54,70,63
female,group D,some college,standard,none,64,57,54
male,group C,high school,standard,none,54,55,52
male,group D,associate's degree,free/reduced,none,48,60,54
male,group D,master's degree,standard,completed,90,93,93
male,group C,some high school,standard,none,59,55,57
male,group D,some college,standard,none,46,46,39
female,group D,some college,free/reduced,none,60,64,63
male,group D,some college,standard,completed,62,64,66
male,group D,some high school,standard,completed,89,78,82
female,group D,bachelor's degree,standard,none,67,79,79
female,group C,associate's degree,standard,completed,90,90,100
male,group D,bachelor's degree,standard,none,64,58,56
female,group E,associate's degree,standard,none,77,92,88
male,group A,some college,standard,none,69,61,59
male,group E,some high school,standard,none,86,78,76
female,group B,some college,standard,none,32,52,51
female,group C,high school,standard,none,75,78,74
female,group C,associate's degree,standard,none,47,49,44
female,group E,high school,standard,completed,74,78,80
male,group C,high school,standard,none,74,69,67
male,group B,some college,standard,none,60,64,62
female,group E,some college,free/reduced,none,59,61,61
male,group B,some college,standard,none,83,68,67
female,group D,high school,free/reduced,completed,58,71,69
female,group D,associate's degree,standard,none,67,80,88
male,group C,some college,standard,none,88,90,83
male,group B,master's degree,free/reduced,none,62,67,63
male,group C,bachelor's degree,free/reduced,completed,75,77,73
female,group C,associate's degree,standard,completed,56,74,70
female,group B,high school,free/reduced,none,58,71,70
male,group E,associate's degree,standard,none,87,81,84
female,group A,associate's degree,free/reduced,none,52,71,59
female,group B,some high school,standard,completed,81,100,95
male,group C,associate's degree,free/reduced,none,58,57,53
male,group A,associate's degree,standard,completed,95,91,83
male,group C,master's degree,free/reduced,completed,65,68,70
male,group C,high school,free/reduced,completed,55,51,52
female,group D,some college,free/reduced,none,55,67,66
male,group E,some high school,free/reduced,none,65,70,57
male,group E,high school,free/reduced,completed,84,73,76
male,group D,high school,standard,none,72,63,61
female,group D,some high school,standard,completed,46,48,55
male,group C,some high school,standard,completed,62,66,57
female,group E,associate's degree,standard,none,85,73,79
male,group C,some college,free/reduced,none,55,44,40
male,group B,some high school,standard,none,89,90,86
male,group B,bachelor's degree,free/reduced,none,80,81,78
male,group D,associate's degree,free/reduced,none,76,68,70
male,group A,some high school,free/reduced,none,50,42,37
male,group D,bachelor's degree,free/reduced,none,71,65,66
female,group E,high school,free/reduced,none,51,55,52
male,group A,high school,standard,none,56,66,61
male,group C,bachelor's degree,standard,completed,80,77,75
female,group E,high school,standard,none,78,90,83
male,group B,high school,free/reduced,none,23,19,22
male,group D,some college,standard,none,79,71,72
female,group B,bachelor's degree,standard,completed,60,73,79
female,group C,master's degree,free/reduced,none,67,78,70
female,group E,some college,standard,completed,78,83,86
